label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe36_feed;pipe;['network losses'];[None];[-495.7363638040534];['0x0000020135375390'];['component'];[];[];nan;False;False;-495.7363638040534;False;False;0.9986937206568304;False;False;410824014.2734313;False;False;0.0217;True;False;41.43669871020132;True;False;0.00029;True;False;6.484773988717536;True;False;0x00000201353B2780;False;m;0;True;-1.4178976897929938;False;1.8148869258797489;False;0.39698923608675507;False;default;default;default
pipe38_feed;pipe;['network losses'];[None];[-482.60263169243245];['0x0000020135375390'];['component'];[];[];nan;False;False;-482.60263169243245;False;False;0.9998424428449266;False;False;109026612.3870607;False;False;0.0217;True;False;13.92838827718412;True;False;8.999999999999999e-05;True;False;6.3884443479191155;True;False;0x00000201353B2940;False;m;0;True;-1.3839786390059;False;1.7668044359964579;False;0.38282579699055796;False;default;default;default
pipe40_feed;pipe;['network losses'];[None];[-489.2953928280889];['0x0000020135375390'];['component'];[];[];nan;False;False;-489.2953928280889;False;False;0.9955810171668833;False;False;155684250.3554165;False;False;0.0217;True;False;22.825424421026653;True;False;8.999999999999999e-05;True;False;6.388444347919046;True;False;0x00000201353B29B0;False;m;0;True;-1.3979578419432726;False;1.7913065818344827;False;0.3933487398912101;False;default;default;default
pipe42_feed;pipe;['network losses'];[None];[-483.01853191959833];['0x0000020135375390'];['component'];[];[];nan;False;False;-483.01853191959833;False;False;0.99965662435387;False;False;45968921.55884331;False;False;0.0217;True;False;7.211102550927978;True;False;8.999999999999999e-05;True;False;6.388444347919144;True;False;0x00000201353B2A20;False;m;0;True;-1.3849156575206945;False;1.7683270434545062;False;0.38341138593381174;False;default;default;default
pipe44_feed;pipe;['network losses'];[None];[-476.66291431906285];['0x0000020135375390'];['component'];[];[];nan;False;False;-476.66291431906285;False;False;0.9997700404000885;False;False;39598607.87417447;False;False;0.0217;True;False;6.0;True;False;8.999999999999999e-05;True;False;6.388444347919206;True;False;0x00000201353B2A90;False;m;0;True;-1.3706170065052752;False;1.7450591774448578;False;0.37444217093958265;False;default;default;default
pipe45_feed;pipe;['network losses'];[None];[-477.5418193095136];['0x0000020135375390'];['component'];[];[];nan;False;False;-477.5418193095136;False;False;0.9976965221633418;False;False;283529537.07392544;False;False;0.0217;True;False;44.82186966202994;True;False;8.999999999999999e-05;True;False;6.388444347919176;True;False;0x00000201353B2B00;False;m;0;True;-1.3723320332372893;False;1.7482768416969197;False;0.3759448084596304;False;default;default;default
pipe5_back;pipe;['network losses'];[None];[-362.6446745567784];['0x0000020135375390'];['component'];[];[];nan;False;False;-362.6446745567784;False;False;0.9995336119408397;False;False;111904475.87591453;False;False;0.0217;True;False;8.54400374531753;True;False;0.00069;True;False;6.692425261877718;True;False;0x00000201353B2B70;False;m;0;True;-1.1078069119848244;False;1.3276392991278727;False;0.2198323871430483;False;default;default;default
pipe15_back;pipe;['network losses'];[None];[-367.4162084003004];['0x0000020135375390'];['component'];[];[];nan;False;False;-367.4162084003004;False;False;0.9212807120421915;False;False;218718328.2556932;False;False;0.0217;True;False;17.804493814764857;True;False;0.00069;True;False;6.692425261877954;True;False;0x00000201353B2BA8;False;m;0;True;-1.0768258001065987;False;1.3451078469716289;False;0.2682820468650302;False;default;default;default
pipe21_back;pipe;['network losses'];[None];[-366.46100994337235];['0x0000020135375390'];['component'];[];[];nan;False;False;-366.46100994337235;False;False;0.9919743476608183;False;False;163749304.9689177;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261878025;True;False;0x00000201353B2BE0;False;m;0;True;-1.1151175025537476;False;1.3416108729393095;False;0.22649337038556183;False;default;default;default
pipe22_back;pipe;['network losses'];[None];[-365.30864502726837];['0x0000020135375390'];['component'];[];[];nan;False;False;-365.30864502726837;False;False;0.9906309211206461;False;False;560159088.014292;False;False;0.0217;True;False;44.28317965096906;True;False;0.00069;True;False;6.692425261877916;True;False;0x00000201353B2CC0;False;m;0;True;-1.1129699867525604;False;1.3373920740518703;False;0.2244220872993099;False;default;default;default
